tStart,tEnd,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,total,p_s0,p_s1,p_s2,p_s3,p_s4,p_s5,p_s6,p_s7,p_s8,p_s9,p_s10,p_s11,p_s12,p_s13,p_s14,p_s15,p_s16,p_s17,p_s18,p_s19
0.0,10.0,30,42,14,8,2,0,0,0,0,0,0,0,0,0,6,4,6,10,26,42,190,15.79%,22.11%,7.37%,4.21%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.16%,2.11%,3.16%,5.26%,13.68%,22.11%
10.0,20.0,14,16,24,12,6,2,4,2,0,0,0,0,0,0,6,8,6,24,18,18,160,8.75%,10.00%,15.00%,7.50%,3.75%,1.25%,2.50%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.75%,5.00%,3.75%,15.00%,11.25%,11.25%
20.0,30.0,16,8,10,4,2,6,2,0,0,2,0,0,2,4,4,10,10,12,6,4,102,15.69%,7.84%,9.80%,3.92%,1.96%,5.88%,1.96%,0.00%,0.00%,1.96%,0.00%,0.00%,1.96%,3.92%,3.92%,9.80%,9.80%,11.76%,5.88%,3.92%
30.0,40.0,6,8,14,6,2,10,0,2,2,0,2,2,0,0,2,8,4,0,10,8,86,6.98%,9.30%,16.28%,6.98%,2.33%,11.63%,0.00%,2.33%,2.33%,0.00%,2.33%,2.33%,0.00%,0.00%,2.33%,9.30%,4.65%,0.00%,11.63%,9.30%
40.0,50.0,2,6,8,6,6,4,4,0,2,2,0,0,0,0,2,0,2,8,0,6,58,3.45%,10.34%,13.79%,10.34%,10.34%,6.90%,6.90%,0.00%,3.45%,3.45%,0.00%,0.00%,0.00%,0.00%,3.45%,0.00%,3.45%,13.79%,0.00%,10.34%
50.0,60.0,4,0,2,2,2,4,0,2,4,2,2,0,0,0,2,0,0,2,6,6,40,10.00%,0.00%,5.00%,5.00%,5.00%,10.00%,0.00%,5.00%,10.00%,5.00%,5.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,5.00%,15.00%,15.00%
60.0,70.0,0,4,2,2,0,2,8,0,0,0,0,0,2,0,4,0,4,8,2,10,48,0.00%,8.33%,4.17%,4.17%,0.00%,4.17%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,0.00%,8.33%,0.00%,8.33%,16.67%,4.17%,20.83%
70.0,80.0,0,0,2,4,4,2,2,0,0,0,0,0,2,6,0,0,2,4,6,0,34,0.00%,0.00%,5.88%,11.76%,11.76%,5.88%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,5.88%,17.65%,0.00%,0.00%,5.88%,11.76%,17.65%,0.00%
80.0,90.0,0,4,0,4,2,0,2,0,0,0,0,0,0,0,2,0,2,4,0,2,22,0.00%,18.18%,0.00%,18.18%,9.09%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,9.09%,18.18%,0.00%,9.09%
90.0,100.0,0,8,4,0,0,2,2,2,0,0,2,0,0,2,2,0,0,2,2,0,28,0.00%,28.57%,14.29%,0.00%,0.00%,7.14%,7.14%,7.14%,0.00%,0.00%,7.14%,0.00%,0.00%,7.14%,7.14%,0.00%,0.00%,7.14%,7.14%,0.00%
100.0,110.0,6,0,4,2,4,2,0,2,0,0,0,0,0,0,0,2,2,2,4,2,32,18.75%,0.00%,12.50%,6.25%,12.50%,6.25%,0.00%,6.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,6.25%,6.25%,12.50%,6.25%
110.0,120.0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,14,0.00%,28.57%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,14.29%,0.00%,14.29%,14.29%,0.00%,0.00%
120.0,130.0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,2,16,0.00%,12.50%,12.50%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%,25.00%,0.00%,12.50%,12.50%
130.0,140.0,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,14,14.29%,14.29%,14.29%,14.29%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%
140.0,150.0,0,2,0,4,0,0,0,0,0,0,6,0,0,2,0,0,0,0,2,0,16,0.00%,12.50%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37.50%,0.00%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,12.50%,0.00%
TOTAL,,80,106,88,60,30,34,26,10,8,6,12,4,8,14,34,32,44,78,84,102,860,9.30%,12.33%,10.23%,6.98%,3.49%,3.95%,3.02%,1.16%,0.93%,0.70%,1.40%,0.47%,0.93%,1.63%,3.95%,3.72%,5.12%,9.07%,9.77%,11.86%
