tStart,tEnd,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,total
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,10
3.5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,14
4.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,5.5,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,16
5.5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,6.5,0,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,14
6.5,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,7.5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,8.5,4,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,16
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,9.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
9.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,10.5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,10
10.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,11.5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,8
TOTAL,,16,22,9,6,2,0,0,1,0,0,0,0,0,0,5,4,3,8,15,23,114
